City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
630,Mapiripan,CO,26.42,overcast clouds,2.8892,-72.1256,Monserrate
631,Neiafu,TO,27.85,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
633,Bonfim,BR,29.92,broken clouds,3.0833,-59.95,
640,Porto Velho,BR,25.03,scattered clouds,-8.7619,-63.9039,Hotel Central
642,Pochutla,MX,29.9,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
644,Olinda,BR,27.85,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
647,Alice Springs,AU,22.75,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
654,Puerto Baquerizo Moreno,EC,25.55,few clouds,-0.9,-89.6,Hotel los Algarrobos
656,Salinopolis,BR,25.52,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
660,Dalby,AU,29.99,scattered clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
661,Kerema,PG,27.47,overcast clouds,-7.9631,145.7785,Frena Lodge
665,Igbo Ora,NG,25.06,overcast clouds,7.4333,3.2833,Pinkbell Inn
666,Bodden Town,KY,28.0,broken clouds,19.2833,-81.25,Will T Place
673,Tomatlan,MX,27.42,overcast clouds,19.9333,-105.25,El Salvial
676,Isla Mujeres,MX,21.03,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
680,Eyl,SO,23.51,overcast clouds,7.9803,49.8164,Amiin Hotel
681,Plettenberg Bay,ZA,20.06,few clouds,-34.0527,23.3716,Thanda Vista B&B
682,Talara,PE,25.42,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
685,Bria,CF,22.87,overcast clouds,6.5423,21.9863,WFP Guesthouse
