City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Tezu,IN,2022-01-08 22:15:47,27.9167,96.1667,14.99,51,3,1.64
182,Hanmer Springs,NZ,2022-01-08 22:15:48,-42.5167,172.8167,23.75,33,100,3.39
183,Ponta Do Sol,PT,2022-01-08 22:15:48,32.6667,-17.1,17.62,72,47,4.17
184,New Norfolk,AU,2022-01-08 22:14:58,-42.7826,147.0587,16.05,80,100,0.45
185,Makakilo City,US,2022-01-08 22:15:48,21.3469,-158.0858,26.18,63,20,3.09
186,Lebu,CL,2022-01-08 22:15:49,-37.6167,-73.65,17.58,83,55,3.55
187,Salalah,OM,2022-01-08 22:10:54,17.0151,54.0924,20.05,40,0,2.57
188,Chinsali,ZM,2022-01-08 22:15:50,-10.5414,32.0816,17.29,96,100,1.44
189,Tando Muhammad Khan,PK,2022-01-08 22:15:50,25.123,68.5358,14.51,56,0,2.91
190,La Paz,BO,2022-01-08 22:14:45,-16.5,-68.15,12.99,58,75,4.63
191,San Cristobal,VE,2022-01-08 22:15:51,7.7669,-72.225,23.1,69,96,1.5
192,Lumajang,ID,2022-01-08 22:15:51,-8.1335,113.2248,23.9,89,100,1.2
193,Baoding,CN,2022-01-08 22:15:51,38.8511,115.4903,-1.28,48,98,2.64
194,Jiayuguan,CN,2022-01-08 22:15:52,39.8167,98.3,-4.82,45,100,2.54
195,Labuhan,ID,2022-01-08 22:15:52,-6.8844,112.2051,25.79,84,100,2.68
196,Saint-Pierre,RE,2022-01-08 22:15:52,-21.3393,55.4781,23.82,84,0,3.09
197,Sioux Lookout,CA,2022-01-08 22:15:53,50.1001,-91.917,-9.79,85,100,4.63
198,Lalganj,IN,2022-01-08 22:15:53,25.8667,85.1833,12.97,63,27,2.73
199,Akyab,MM,2022-01-08 22:15:53,20.15,92.9,18.27,71,3,2.64
200,Sorel,CA,2022-01-08 22:15:54,46.0418,-73.1136,-12.74,74,69,1.34
201,Serenje,ZM,2022-01-08 22:15:54,-13.2325,30.2352,17.43,98,100,2.07
202,Axim,GH,2022-01-08 22:15:55,4.8699,-2.2405,26.84,83,44,3.53
203,Buala,SB,2022-01-08 22:15:55,-8.145,159.5921,28.16,72,36,1.71
204,Ouadda,CF,2022-01-08 22:15:56,8.0777,22.4007,26.99,27,67,1.07
205,Chake Chake,TZ,2022-01-08 22:15:56,-5.2459,39.7666,26.63,76,37,5.04
206,Leshukonskoye,RU,2022-01-08 22:15:56,64.8989,45.7622,-12.47,84,79,5.49
207,Sorong,ID,2022-01-08 22:15:57,-0.8833,131.25,26.18,81,89,1.16
208,Chuy,UY,2022-01-08 22:14:58,-33.6971,-53.4616,21.98,64,0,6.42
209,Santarem,BR,2022-01-08 22:15:57,-2.4431,-54.7083,24.07,94,100,0.51
210,North Bend,US,2022-01-08 22:15:58,43.4065,-124.2243,11.76,80,0,2.06
211,Sorland,NO,2022-01-08 22:15:58,67.667,12.6934,0.66,70,8,7.98
212,Geraldton,AU,2022-01-08 22:15:59,-28.7667,114.6,21.23,60,100,8.75
213,Qaanaaq,GL,2022-01-08 22:15:59,77.484,-69.3632,-21.96,86,78,2.85
214,Wangqing,CN,2022-01-08 22:15:59,43.3218,129.7634,-18.4,98,14,1.23
215,San Ramon,US,2022-01-08 22:12:30,37.7799,-121.978,14.68,81,100,0.45
